stage,factor_name,decision,model,source_model_dir,quick_rank_ic,quick_rank_icir,net_sharpe,mean_turnover,net_ann_return,net_excess_ann_return,expression,source_artifact
broad,llmgen.vwap_mean_spread_vol_regime,research_keep_exploratory,claude-sonnet-4-6,claude-sonnet-4-6,0.0638204022575288,0.8377471073585387,4.176239870217724,0.7848116616117145,4.980135482085454,-0.9974813620610066,"neg(mul(sub(volume_weighted_mean(close, volume, 28), ts_mean(close, 28)), where(gt(volume, ts_mean(volume, 20)), 1, 0)))",artifacts/runs/llm_refine_family_loop/20260511_081152_qp_weighted_price_centroid/broad_runs/20260511_081153_qp_weighted_price_centroid/multi_runs/round_01/01_quality_parent/20260511_081158_qp_weighted_price_centroid/child_runs/04_claude-sonnet-4-6/20260511_081203_qp_weighted_price_centroid/evaluation/family_backtest_selection_summary.csv
broad,llmgen.vwap_centroid_zscore_trend,research_keep,claude-sonnet-4-6,claude-sonnet-4-6,0.0718730664066551,0.8107248292334462,5.125555046733145,0.5308395387074557,2.2874825844096374,-0.8447060801443993,"neg(mul(div(sub(volume_weighted_mean(close, volume, 20), ts_mean(close, 20)), add(ts_std(close, 20), 1e-12)), where(gt(close, ts_mean(close, 20)), 1, 0)))",artifacts/runs/llm_refine_family_loop/20260511_081152_qp_weighted_price_centroid/broad_runs/20260511_081153_qp_weighted_price_centroid/multi_runs/round_03/01_quality_parent/20260511_092108_qp_weighted_price_centroid/child_runs/04_claude-sonnet-4-6/20260511_092114_qp_weighted_price_centroid/evaluation/family_backtest_selection_summary.csv
focused,llmgen.vwap_mean_gap_zscaled_confirm,research_winner,gpt-5.4,gpt-5.4,0.073796779118328,0.8062572475179317,6.162184635006566,0.2507781204913149,3.563532974419801,0.2642708826740823,"neg(mul(div(volume_weighted_mean(vwap, volume, 20) - ts_mean(vwap, 20), add(ts_std(vwap, 20), 1e-12)), decay_linear(div(volume, add(ts_mean(volume, 40), 1e-12)), 5)))",artifacts/runs/llm_refine_family_loop/20260511_081152_qp_weighted_price_centroid/focused_runs/20260511_130501_qp_weighted_price_centroid/multi_runs/round_01/01_quality_parent/20260511_130502_qp_weighted_price_centroid/child_runs/01_gpt-5.4/20260511_130508_qp_weighted_price_centroid/evaluation/family_backtest_selection_summary.csv
focused,llmgen.vwap_mean_voladj_20,research_keep,qwen3.5-plus,qwen3.5-plus,0.0759308181074473,0.8002767383714161,5.928426335586826,0.251014816745696,3.545088378788773,0.2624991546942918,"neg(mul(div(sub(volume_weighted_mean(close, volume, 20), ts_mean(close, 20)), add(ts_std(close, 20), 1e-12)), decay_linear(div(turnover, add(ts_mean(turnover, 40), 1e-12)), 5)))",artifacts/runs/llm_refine_family_loop/20260511_081152_qp_weighted_price_centroid/focused_runs/20260511_130501_qp_weighted_price_centroid/multi_runs/round_02/01_quality_parent/20260511_133656_qp_weighted_price_centroid/child_runs/03_qwen3.5-plus/20260511_133701_qp_weighted_price_centroid/evaluation/family_backtest_selection_summary.csv
broad,llmgen.vwap_mean_volregime_z,research_keep,deepseek-v3.1,deepseek-v3.1,0.076022621396072,0.7990438490313398,5.93691883229886,0.2512973163671121,3.5707581789530582,0.269107511719413,"neg(div(volume_weighted_mean(close, volume, 20) - ts_mean(close, 20), add(ts_std(close, 20), 1e-12)) * decay_linear(div(volume, add(ts_mean(volume, 40), 1e-12)), 5))",artifacts/runs/llm_refine_family_loop/20260511_081152_qp_weighted_price_centroid/broad_runs/20260511_081153_qp_weighted_price_centroid/multi_runs/round_01/01_quality_parent/20260511_081158_qp_weighted_price_centroid/child_runs/02_deepseek-v3.1/20260511_081203_qp_weighted_price_centroid/evaluation/family_backtest_selection_summary.csv
focused,llmgen.vwap_typical_amtrank_volconfirm20,research_winner,claude-sonnet-4-6,claude-sonnet-4-6,0.0858718538243516,0.791141704411575,6.395744373827442,0.4141375778100148,4.7632111604544285,0.6229977589956179,"neg(mul(sub(volume_weighted_mean(close, volume, 20), ts_mean(div(add(add(high, low), close), 3), 20)), mul(ts_rank(div(turnover, add(ts_mean(turnover, 40), 1e-12)), 20), decay_linear(div(volume, add(ts_mean(volume, 20), 1e-12)), 5))))",artifacts/runs/llm_refine_family_loop/20260511_081152_qp_weighted_price_centroid/focused_runs/20260511_130501_qp_weighted_price_centroid/multi_runs/round_04/01_quality_parent/20260511_144638_qp_weighted_price_centroid/child_runs/04_claude-sonnet-4-6/20260511_144644_qp_weighted_price_centroid/evaluation/family_backtest_selection_summary.csv
focused,llmgen.vwap_typical_turntrend_20,research_winner,gpt-5.4,gpt-5.4,0.0868727682402543,0.7811102967164154,6.4319000737909295,0.2824213495774389,4.751597964860563,0.5738235777718197,"neg(mul(mul(sub(volume_weighted_mean(close, volume, 20), ts_mean(div(add(add(high, low), close), 3), 20)), decay_linear(div(turnover, add(ts_mean(turnover, 40), 1e-12)), 5)), add(1, ts_rank(vwap, 20))))",artifacts/runs/llm_refine_family_loop/20260511_081152_qp_weighted_price_centroid/focused_runs/20260511_130501_qp_weighted_price_centroid/multi_runs/round_03/01_quality_parent/20260511_141139_qp_weighted_price_centroid/child_runs/01_gpt-5.4/20260511_141144_qp_weighted_price_centroid/evaluation/family_backtest_selection_summary.csv
focused,llmgen.vwap_typical_volturn_confirm20,research_winner,claude-sonnet-4-6,claude-sonnet-4-6,0.0891028425203607,0.7798339889185175,6.402729660699906,0.256612396216619,5.059687450838171,0.6564494635532621,"neg(mul(sub(volume_weighted_mean(close, volume, 20), ts_mean(div(add(add(high, low), close), 3), 20)), mul(decay_linear(div(turnover, add(ts_mean(turnover, 40), 1e-12)), 5), decay_linear(div(volume, add(ts_mean(volume, 20), 1e-12)), 5))))",artifacts/runs/llm_refine_family_loop/20260511_081152_qp_weighted_price_centroid/focused_runs/20260511_130501_qp_weighted_price_centroid/multi_runs/round_03/01_quality_parent/20260511_141139_qp_weighted_price_centroid/child_runs/04_claude-sonnet-4-6/20260511_141144_qp_weighted_price_centroid/evaluation/family_backtest_selection_summary.csv
focused,llmgen.vwap_typical_vol_med_confirm20,research_keep,qwen3.5-plus,qwen3.5-plus,0.073636772609656,0.7678273262343914,6.082878183795772,0.3489284551720055,3.5597963406661384,0.2979432902299925,"neg(mul(sub(volume_weighted_mean(close, volume, 20), ts_med(div(add(add(high, low), close), 3), 20)), div(volume, add(ts_mean(volume, 60), 1e-12))))",artifacts/runs/llm_refine_family_loop/20260511_081152_qp_weighted_price_centroid/focused_runs/20260511_130501_qp_weighted_price_centroid/multi_runs/round_05/01_quality_parent/20260511_152129_qp_weighted_price_centroid/child_runs/03_qwen3.5-plus/20260511_152135_qp_weighted_price_centroid/evaluation/family_backtest_selection_summary.csv
focused,llmgen.vwap_typical_vol_ir_confirm20,research_keep,qwen3.5-plus,qwen3.5-plus,0.0765707502335157,0.7616948164148384,5.737109217874182,0.3662486118248662,3.823270482809276,0.3977305096032995,"neg(mul(div(sub(volume_weighted_mean(close, volume, 20), ts_mean(div(add(add(high, low), close), 3), 20)), add(ts_std(close, 20), 1e-12)), div(volume, add(ts_mean(volume, 60), 1e-12))))",artifacts/runs/llm_refine_family_loop/20260511_081152_qp_weighted_price_centroid/focused_runs/20260511_130501_qp_weighted_price_centroid/multi_runs/round_05/01_quality_parent/20260511_152129_qp_weighted_price_centroid/child_runs/03_qwen3.5-plus/20260511_152135_qp_weighted_price_centroid/evaluation/family_backtest_selection_summary.csv
